source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0928,Panama Canal Museum,Latin America / Caribbean / Panama,Latin America,Panama,Latin America,Panama,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0929,Panama Museum of Contemporary Art,Latin America / Caribbean / Panama,Latin America,Panama,Latin America,Panama,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0765,People's Museum,Eastern Europe / Caucasus / North Macedonia,Eastern Europe,North Macedonia,Eastern Europe,North Macedonia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0253,Phuket Thai Hua Museum,Southeast Asia / Thailand,Southeast Asia,Thailand,Southeast Asia,Thailand,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0158,Pinang Peranakan Mansion,Southeast Asia / Malaysia,Southeast Asia,Malaysia,Southeast Asia,Malaysia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0382,Pintô Art Museum,Southeast Asia / Philippines,Southeast Asia,Philippines,Southeast Asia,Philippines,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0499,Pre-Columbian Gold Museum,Latin America / Caribbean / Costa Rica,Latin America,Costa Rica,Latin America,Costa Rica,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0461,Provincial Museum of Natural Sciences Florentino Ameghino,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0723,Public Law Library of Chișinău,Eastern Europe / Caucasus / Moldova,Eastern Europe,Moldova,Eastern Europe,Moldova,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0464,Pueblo de Luis Regional Museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0466,Pulpería Quilapán,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0467,Q115931257,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0195,Q122764551,Eastern Europe / Caucasus / Armenia,Eastern Europe,Armenia,Eastern Europe,Armenia,unchanged,summary geography already matches capture record source_place_text
